District,Population Density
Kiboga,107
Kiboga,378
Kiboga,26
Kiboga,41
Kiboga,149
Kiboga,987
Kiboga,111
Kiboga,155
Kiboga,93
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Kyankwanzi,
Luwero,238
Luwero,3312
Luwero,92
Luwero,312
Luwero,61
Luwero,286
Luwero,132
Luwero,241
Luwero,1583
Luwero,193
Luwero,376
Luwero,1573
Luwero,196
Luwero,206
Lwengo,299
Lwengo,314
Lwengo,225
Lwengo,796
Lwengo,223
Lwengo,436
Lwengo,217
Lwengo,272
Lwengo,268
Lyantonde,169
Lyantonde,54
Lyantonde,60
Lyantonde,165
Lyantonde,1411
Lyantonde,77
Lyantonde,106
Masaka,67
Masaka,164
Masaka,332
Masaka,169
Masaka,147
Masaka,332
Masaka,1636
Masaka,1803
Masaka,3696
Masaka,256
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mityana,
Mpigi,200
Mpigi,161
Mpigi,316
Mpigi,159
Mpigi,288
Mpigi,192
Mpigi,225
Mpigi,208
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mubende,
Mukono,2157
Mukono,818
Mukono,294
Mukono,346
Mukono,193
Mukono,354
Mukono,188
Mukono,248
Mukono,314
Mukono,216
Mukono,249
Mukono,444
Mukono,248
Mukono,111
Mukono,195
Mukono,326
Nakaseke,53
Nakaseke,194
Nakaseke,192
Nakaseke,148
Nakaseke,15
Nakaseke,16
Nakaseke,99
Nakaseke,309
Nakaseke,175
Nakaseke,599
Nakaseke,10
Nakaseke,64
Nakaseke,176
Nakaseke,372
Nakaseke,25
Nakaseke,57
Nakasongola,44
Nakasongola,140
Nakasongola,49
Nakasongola,104
Nakasongola,87
Nakasongola,138
Nakasongola,88
Nakasongola,22
Nakasongola,196
Nakasongola,31
Nakasongola,39
Nakasongola,55
Rakai,221
Rakai,300
Rakai,91
Rakai,121
Rakai,273
Rakai,97
Rakai,230
Rakai,858
Rakai,242
Rakai,149
Rakai,100
Rakai,208
Rakai,289
Rakai,205
Rakai,125
Rakai,49
Rakai,3334
Rakai,201
Rakai,229
Rakai,243
Rakai,247
Rakai,260
Rakai,159
Ssembabule,42
Ssembabule,205
Ssembabule,118
Ssembabule,247
Ssembabule,507
Ssembabule,134
Ssembabule,50
Ssembabule,217
Ssembabule,109
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Wakiso,
Amuria,130
Amuria,88
Amuria,144
Amuria,115
Amuria,317
Amuria,139
Amuria,151
Amuria,64
Amuria,110
Amuria,120
Amuria,87
Amuria,161
Amuria,42
Amuria,153
Amuria,113
Amuria,109
Amuria,105
Budaka,292.2
Budaka,1082.2
Budaka,594.4
Budaka,488.4
Budaka,601.3
Budaka,468.1
Budaka,474.7
Budaka,531.4
