KINKIIZI,KANUNGU,-0.8897256,29.7831356
BUNGOKHO,MBALE,1.0344274,34.1976882
AYIVU,ARUA,3.037925,30.9417368
AYIVU,ARUA,3.037925,30.9417368
OMORO,GULU,2.715223,32.4920088
AMURIA,KATAKWI,1.9141618,33.9582783
TEREGO,ARUA,3.1710085,31.1252135
BUSIRO,WAKISO,0.2209922,32.4920088
PADYERE,NEBBI,2.4456745,31.1710389
SAMIA BUGWE,BUSIA,0.4044731,34.0195827
BUSOLWE,BUTALEJA,0.8426915,33.9248222
MITYANA,MITYANA,0.4016398,32.043969
KILAK,AMURU,3.104179,32.0837445
PAKWACH,NEBBI,2.4607141,31.4941738
KAMWENGE,KAMWENGE,0.186066,30.4512086
JONAM,NEBBI,2.4738455,31.3998995
OYAM,APAC,2.2776281,32.4467238
BUKONZO EAST,KASESE,0.0364501,29.7599761
EAST MOYO,ADJUMANI,3.3783808,31.7822278
RUBANDA,KABALE,-1.1681854,29.8583772
NDORWA,KABALE,-1.3504705,30.0202964
BUNYARUGURU,RUBIRIZI,-0.264241,30.1084033
RUBANDA,KABALE,-1.1681854,29.8583772
KABALE MUNICIPALITY,KABALE,-1.2587021,29.9856157
BUJUMBURA,RUKUNGIRI,-0.5546336,29.8352303
NDORWA,KABALE,-1.3504705,30.0202964
SIPI,KAPCHORWA,1.312924,34.3705857
KAKUUTO,RAKAI,-0.869223,31.5826642
MWENGE,KYENJOJO,0.7137652,30.6199895
RUBABO,RUKUNGIRI,-0.9506973,29.9277947
GOMBA,MPIGI,0.2229791,31.6739371
NGORA,KUMI,1.4569467,33.778309
AYIVU,ARUA,3.037925,30.9417368
BUTEMBE,JINJA,0.550365,33.2812562
KAKUUTO,RAKAI,-0.869223,31.5826642
MAWOKOTA,MPIGI,0.2273528,32.3249236
AMURIA,AMURIA,2.03017,33.6427533
KAPELEBYONG,AMURIA,2.2970408,33.860664
BULAMOGI,KALIRO,0.8927499,33.5028005
BUFUMBIRA,KISORO,-1.1538569,29.6499162
BUNYA,MAYUGE,0.2532134,33.5508661
BUIKWE NORTH,MUKONO,0.3144046,32.9888319
BUDAKA,BUDAKA,1.0155122,33.9499154
BUIKWE,MUKONO,0.3144046,32.9888319
TEREGO,TEREGO,3.1710085,31.1252135
KAKIRI,WAKISO,0.4190446,32.3915063
AMURIA,AMURIA,2.03017,33.6427533
KASSANDA,MUBENDE,0.5761443,31.7195459
NAKASEKE,LUWERO,0.8404086,32.497668
KASHARI,MBARARA,-0.4852564,30.5739579
BUSIRO,WAKISO,0.2209922,32.4920088
MARACHA,MARACHA,3.2873127,30.9403023
BUWEKULA,MUBENDE,0.4490043,31.3541631
OMORO,GULU,2.715223,32.4920088
MAWOKOTA,MPIGI,0.2273528,32.3249236
